time,open,high,low,close,Fast_MA,Slow_MA,Signal,Crossover,Bias
2024-11-11 03:00:00,17.60761,17.62034,17.59858,17.6058,17.4573656,17.5013183,-1,0.0,Bearish
2024-11-11 04:00:00,17.6056,17.617,17.60119,17.60458,17.4562672,17.5021548,-1,0.0,Bearish
2024-11-11 05:00:00,17.60479,17.61274,17.6008,17.60498,17.4553068,17.5032335,-1,0.0,Bearish
2024-11-11 06:00:00,17.61254,17.62243,17.60228,17.61349,17.4556008,17.5043038,-1,0.0,Bearish
2024-11-11 07:00:00,17.61376,17.61376,17.59323,17.59494,17.4557738,17.5054184,-1,0.0,Bearish
2024-11-11 08:00:00,17.59493,17.60504,17.54627,17.55893,17.4551166,17.506057,-1,0.0,Bearish
2024-11-11 09:00:00,17.55893,17.64582,17.55893,17.62159,17.4564688,17.507266599999998,-1,0.0,Bearish
2024-11-11 10:00:00,17.62159,17.67451,17.59576,17.66192,17.4588094,17.5088681,-1,0.0,Bearish
2024-11-11 11:00:00,17.66192,17.73693,17.65756,17.73574,17.463237799999998,17.5113147,-1,0.0,Bearish
2024-11-11 12:00:00,17.73596,17.75589,17.70484,17.75463,17.4688572,17.513852699999997,-1,0.0,Bearish
2024-11-11 13:00:00,17.75435,17.82245,17.75435,17.81422,17.4761106,17.5174205,-1,0.0,Bearish
2024-11-11 14:00:00,17.814,17.86127,17.80784,17.85445,17.4840744,17.5213713,-1,0.0,Bearish
2024-11-11 15:00:00,17.85425,17.8821,17.83685,17.841169999999998,17.4916162,17.5252997,-1,0.0,Bearish
2024-11-11 16:00:00,17.84125,17.94589,17.82754,17.92343,17.5026244,17.5301487,-1,0.0,Bearish
2024-11-11 17:00:00,17.92195,17.97996,17.89025,17.95117,17.5151306,17.5355351,-1,0.0,Bearish
2024-11-11 18:00:00,17.95133,17.95379,17.90126,17.95197,17.5285196,17.5404105,-1,0.0,Bearish
2024-11-11 19:00:00,17.95187,17.96309,17.92767,17.956,17.5415388,17.545587899999997,-1,0.0,Bearish
2024-11-11 20:00:00,17.95605,17.96764,17.9441,17.94547,17.554201,17.550616299999998,1,2.0,Bullish
2024-11-11 21:00:00,17.94472,17.9608,17.92739,17.93234,17.5671966,17.5558759,1,0.0,Bullish
2024-11-11 22:00:00,17.9322,17.9322,17.9029,17.90819,17.579486399999997,17.5607571,1,0.0,Bullish
2024-11-11 23:00:00,17.90813,17.93249,17.8992,17.91002,17.5912226,17.5661862,1,0.0,Bullish
2024-11-12 00:00:00,17.91008,17.93126,17.8866,17.92321,17.6037444,17.571721699999998,1,0.0,Bullish
2024-11-12 01:00:00,17.92227,17.93573,17.90088,17.90088,17.6159398,17.577038400000003,1,0.0,Bullish
2024-11-12 02:00:00,17.90066,17.9301,17.90066,17.92012,17.628810199999997,17.5824518,1,0.0,Bullish
2024-11-12 03:00:00,17.91727,17.93956,17.90216,17.93417,17.641809600000002,17.5880494,1,0.0,Bullish
2024-11-12 04:00:00,17.93397,17.95327,17.92537,17.93878,17.6541588,17.5936677,1,0.0,Bullish
2024-11-12 05:00:00,17.93828,17.94824,17.91353,17.94506,17.666448600000003,17.5993194,1,0.0,Bullish
2024-11-12 06:00:00,17.94506,17.95244,17.93518,17.9381,17.678257799999997,17.6033067,1,0.0,Bullish
2024-11-12 07:00:00,17.93538,17.97078,17.92988,17.96411,17.690234399999998,17.607461,1,0.0,Bullish
2024-11-12 08:00:00,17.96424,17.98282,17.95828,17.97223,17.7022242,17.609645,1,0.0,Bullish
2024-11-12 09:00:00,17.97203,18.02806,17.96948,18.01967,17.715851,17.6120763,1,0.0,Bullish
